Ponto de Venda,Data,Origem / mídia da sessão,Campanha da sessão,Sessões,Transações,Receita,Origem Agrupada
Site,23/12/2025,google / cpc,Performance -Guanabara-App-Engajament,9013,299,51734.80002599999,Outros Canais
Site,10/04/2026,google / cpc,Performance -Guanabara-App-Engajament,8944,413,50684.97000299999,Outros Canais
Site,26/01/2026,google / cpc,Performance -Guanabara-App-Engajament,8936,333,45438.530021,Outros Canais
Site,22/12/2025,google / cpc,Performance -Guanabara-App-Engajament,8920,327,49743.580008000004,Outros Canais
Site,09/12/2025,google / cpc,Performance -Guanabara-App-Engajament,8919,333,56157.61995800001,Outros Canais
Site,31/12/2025,google / cpc,Performance -Guanabara-App-Engajament,8880,262,39134.219996,Outros Canais
Site,27/01/2026,google / cpc,Performance -Guanabara-App-Engajament,8812,335,48835.499933999985,Outros Canais
Site,08/04/2026,google / cpc,Performance -Guanabara-App-Engajament,8705,477,64837.079946999984,Outros Canais
Site,21/12/2025,google / cpc,Performance -Guanabara-App-Engajament,8653,306,53352.05000300001,Outros Canais
Site,18/01/2026,google / cpc,Performance -Guanabara-App-Engajament,8643,287,33312.909985,Outros Canais
Site,05/04/2026,google / cpc,Performance -Guanabara-App-Engajament,8610,401,53882.54994499999,Outros Canais
Site,13/04/2026,google / cpc,Performance -Guanabara-App-Engajament,8610,426,59543.899972,Outros Canais
Site,24/03/2026,google / cpc,Performance -Guanabara-App-Engajament,8570,354,47728.789998,Outros Canais
Site,17/01/2026,google / cpc,Performance -Guanabara-App-Engajament,8510,323,50612.779983,Outros Canais
Site,16/12/2025,google / cpc,Performance -Guanabara-App-Engajament,8303,329,51389.279988999995,Outros Canais
Site,24/12/2025,google / cpc,Performance -Guanabara-App-Engajament,8287,242,31458.119985999998,Outros Canais
Site,23/07/2025,google / cpc,Performance -Guanabara-App-Engajament,8286,170,31718.450006000003,Outros Canais
Site,28/01/2026,google / cpc,Performance -Guanabara-App-Engajament,8285,329,50219.39006500001,Outros Canais
Site,25/03/2026,google / cpc,Performance -Guanabara-App-Engajament,8284,388,55800.45998000001,Outros Canais
Site,24/01/2026,google / cpc,Performance -Guanabara-App-Engajament,8281,304,47304.769991,Outros Canais
Site,25/01/2026,google / cpc,Performance -Guanabara-App-Engajament,8238,306,38036.339975999996,Outros Canais
